municipality,year,slc_code,property_class,cva,total_tax_levied,lt_municipal_tax,ut_municipal_tax,education_tax
Ottawa,2023,0010,Residential,137834283073.0,1579310471.0,1368424018.0,0.0,210886453.0
Ottawa,2023,0050,Multi-residential,11517561867.0,167810437.0,150188567.0,0.0,17621870.0
Ottawa,2023,0110,Farmland,1818463085.0,3695666.0,3000104.0,0.0,695562.0
Ottawa,2023,0140,Managed Forest,26497700.0,63514.0,53379.0,0.0,10135.0
Ottawa,2023,0210,Commercial,14130210616.0,372215066.0,256000893.0,0.0,116214173.0
Ottawa,2023,0510,Industrial,1242998724.0,37689722.0,26617958.0,0.0,11071764.0
Ottawa,2023,0610,Large Industrial,461150200.0,14325301.0,10267179.0,0.0,4058122.0
Ottawa,2023,0710,Pipelines,329284000.0,7939787.0,5042088.0,0.0,2897699.0
Ottawa,2023,9170,Supplementary Taxes,,41984870.0,34919571.0,0.0,7065299.0
Ottawa,2023,9180,Total Levied by Rate,,2529900883.0,2070742316.0,0.0,459158567.0
Vaughan,2023,0010,Residential,88991563917.0,618574133.0,171932592.0,310484448.0,136157093.0
Vaughan,2023,0050,Multi-residential,510099500.0,3545665.0,985517.0,1779696.0,780452.0
Vaughan,2023,0110,Farmland,149922841.0,260525.0,72413.0,130767.0,57345.0
Vaughan,2023,0140,Managed Forest,1574100.0,2735.0,760.0,1373.0,602.0
Vaughan,2023,0210,Commercial,11797240077.0,187494848.0,29883660.0,53965408.0,103645780.0
Vaughan,2023,0510,Industrial,4115527595.0,70457726.0,12311098.0,22231978.0,35914650.0
Vaughan,2023,0610,Large Industrial,988396700.0,17488436.0,3132937.0,5657608.0,8697891.0
Vaughan,2023,0710,Pipelines,164884000.0,2272405.0,292755.0,528671.0,1450979.0
Vaughan,2023,9170,Supplementary Taxes,,12636823.0,2979216.0,5333603.0,4324004.0
Vaughan,2023,9180,Total Levied by Rate,,975097828.0,232514451.0,418187047.0,324396330.0
Markham,2023,0010,Residential,91683084609.0,607501099.0,147419221.0,319827546.0,140254332.0
Markham,2023,0050,Multi-residential,989337400.0,6556418.0,1591013.0,3451719.0,1513686.0
Markham,2023,0110,Farmland,100274567.0,166131.0,40314.0,87462.0,38355.0
Markham,2023,0140,Managed Forest,2195700.0,3638.0,883.0,1915.0,840.0
Markham,2023,0210,Commercial,7448757271.0,114986552.0,15681336.0,34020823.0,65284393.0
Markham,2023,0510,Industrial,1304610448.0,21226853.0,3178839.0,6896521.0,11151493.0
Markham,2023,0610,Large Industrial,92387000.0,1586795.0,244135.0,529654.0,813006.0
Markham,2023,0710,Pipelines,94579000.0,1275324.0,139778.0,303251.0,832295.0
Markham,2023,9170,Supplementary Taxes,,12209168.0,2774804.0,6015388.0,3418976.0
Markham,2023,9180,Total Levied by Rate,,825790871.0,180190250.0,389076978.0,256523643.0
Toronto,2023,0010,Residential,581883224788.0,3876895354.0,2986614020.0,0.0,890281334.0
Toronto,2023,0050,Multi-residential,57760346911.0,618676193.0,530419452.0,0.0,88256741.0
Toronto,2023,0110,Farmland,4129900.0,6879.0,5299.0,0.0,1580.0
Toronto,2023,0140,Managed Forest,4227300.0,7041.0,5424.0,0.0,1617.0
Toronto,2023,0210,Commercial,63512513277.0,1306949425.0,774110551.0,0.0,532838874.0
Toronto,2023,0510,Industrial,6718374363.0,143793371.0,84396451.0,0.0,59396920.0
Toronto,2023,0610,Large Industrial,1589075806.0,34395408.0,20411541.0,0.0,13983867.0
Toronto,2023,0710,Pipelines,379540000.0,7087211.0,3747259.0,0.0,3339952.0
Toronto,2023,9170,Supplementary Taxes,,92817376.0,62610401.0,0.0,30206975.0
Toronto,2023,9180,Total Levied by Rate,,7443407769.0,5277867164.0,0.0,2165540605.0
Mississauga,2023,0010,Residential,127355982585.0,1122682944.0,417548502.0,510281630.0,194852812.0
Mississauga,2023,0050,Multi-residential,6995727526.0,74817545.0,28873765.0,35286325.0,10657455.0
Mississauga,2023,0110,Farmland,5713400.0,12591.0,4683.0,5723.0,2185.0
